(Intercept),elevation_change,foliage,latitude,macro,micro,snowdepth,veg_structure,df,logLik,AICc,delta,weight
4.823220855090238,-0.004383784970463812,+,NA,+,+,NA,NA,15,-25257.195964548908,50544.43606702885,85.46120387493283,2.45699923503342e-19
4.8504691816520396,-0.004471534841395321,+,NA,+,+,NA,6.330691443757543e-4,16,-25257.058868782206,50546.16776515316,87.19290199923853,1.03364534089023e-19
2.4790176538231754,NA,+,-0.1540772231645414,+,+,NA,0.002978751145345279,16,-25258.170255189096,50548.39053796694,89.415674813019,3.40175136430414e-20
13.424001104137004,-0.007579715474662321,+,NA,NA,+,NA,NA,7,-25267.485397114902,50548.98108550978,90.00622235586343,2.53201805434883e-20
0.6616943564470329,NA,+,-0.09333209595313145,+,+,NA,NA,15,-25259.79432576449,50549.63278946002,90.6579263060994,1.82789432011598e-20
14.227277405470417,-0.007929784633022522,+,-0.01935293507327813,NA,+,NA,NA,8,-25267.22449155938,50550.46221598037,91.48735282645066,1.20737840228503e-20
13.564544383241275,-0.007521128869695497,+,NA,NA,+,NA,-1.4510201599138514e-4,8,-25267.464354424337,50550.94194171028,91.96707855636487,9.49887744052556e-21
-3.076101047731881,NA,+,NA,+,+,NA,NA,14,-25261.731939184483,50551.50249550762,92.52763235370367,7.17710952438216e-21
15.033422119606731,-0.007885750536732784,+,-0.02760358834689418,NA,+,NA,-4.7870630136982045e-4,9,-25267.03648594712,50552.089514491425,93.11465133750607,5.35155534259041e-21
-3.141814011066383,NA,+,NA,+,+,NA,3.182677101348185e-4,15,-25261.70895329627,50553.46204452358,94.48718136965908,2.69425632698865e-21
6.815835304424002,NA,+,NA,NA,+,NA,NA,6,-25277.293105344575,50566.59392843998,107.6190652860605,3.79215910508151e-24
5.985929493118151,NA,+,0.03233267350890372,NA,+,NA,NA,7,-25276.96679307018,50567.94387742034,108.96901426641853,1.93085141136324e-24
7.827694742244234,NA,+,NA,NA,+,NA,-7.650351113741601e-4,7,-25277.04768228341,50568.1056558468,109.13079269287846,1.78081627063054e-24
6.781708405128447,NA,+,0.024346828527057017,NA,+,NA,-4.4670372190004133e-4,8,-25276.901464163097,50569.8161611878,110.8412980338835,7.57159890163573e-25
