(Intercept),elevation_change,height,latitude,n_days,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
2.661670785751747,-9.988872074510619,8.473809985530384,8.565068202957962,8.874334002529046,-1.1606367834230022,NA,8,-1585.8590705664953,3188.0067182872995,39.93644048920078,1.15083442847348e-09
2.7875402310877178,-10.2024738655789,8.475467528807403,8.233442149086468,8.843371713907064,NA,NA,7,-1587.5190793892396,3189.2621587784793,41.191880980380574,6.14323893332243e-10
-1.344268293053964,NA,8.46060338480007,8.904571976004192,10.791668039913958,-1.284936132909477,NA,7,-1590.1238947883676,3194.4717895767353,46.40151177863663,4.54088447113365e-11
3.7865968438497295,-10.434855841815525,8.376581449428498,NA,12.9966969076078,-0.7928168571721104,NA,7,-1590.154896324125,3194.5337926482503,46.46351485015157,4.40226981410038e-11
7.239100153220592,-13.026271372564183,8.459815600425419,13.149575216553652,NA,-1.0940201801759766,NA,7,-1590.1639281540033,3194.551856308007,46.481578509908104,4.36268827797964e-11
3.8358585773262464,-10.565526913019836,8.38111951881082,NA,12.874250578680588,NA,NA,6,-1591.6778108294466,3195.523286329552,47.45300853145318,2.6841750427446e-11
7.341676419621413,-13.216274610068176,8.461165159323077,12.822493203951721,NA,NA,NA,6,-1591.7958463409277,3195.759357352514,47.68907955441546,2.38533105687092e-11
-1.2961867669845848,NA,8.462018171185768,8.547688422339823,10.796000827664352,NA,NA,6,-1591.839932042127,3195.8475287549127,47.77725095681399,2.28245637712499e-11
-0.35919904488765747,NA,8.365189056016922,NA,15.176499869820958,-0.9199088577820891,NA,6,-1594.4934809873066,3201.154626645272,53.08434884717326,1.60687029217944e-12
-0.3597714046408335,NA,8.370058493796433,NA,15.062240104621015,NA,NA,5,-1596.0578675258712,3202.235256964093,54.16497916599428,9.36105785517262e-13
3.033425953730347,NA,8.440315563275787,14.991129786421793,NA,-1.2131280437379648,NA,6,-1595.2758476571105,3202.7193599848797,54.649082186781015,7.34857775974302e-13
3.079696842153374,NA,8.441333109083393,14.657071683900032,NA,NA,NA,5,-1596.958677142098,3204.0368761965465,55.966598398447786,3.8028420177074e-13
12.816035577006899,-11.391430138256526,NA,-1.1626441362058955,9.677920009227527,-1.6352449524459949,-11.528753922463498,8,-1594.0974576825845,3204.4834925194777,56.41321472137906,3.04177286626083e-13
12.928057175104007,-11.674441848848865,NA,-1.5699056787832395,9.634811905026062,NA,-11.447293968334053,7,-1596.0072878627723,3206.2385757255447,58.16829792744602,1.2647809208628e-13
13.869030517984886,-16.76399058905595,8.310839514272066,NA,NA,-0.52962403186892,NA,6,-1597.0620753935489,3206.2918154577565,58.22153765965777,1.23155679489779e-13
13.838301732274024,-16.811043356199853,8.313245217818704,NA,NA,NA,NA,5,-1598.519280607231,3207.1580831268125,59.087805328713785,7.98632188869883e-14
12.509831104292637,-11.291775927665954,NA,NA,9.220387874978545,-1.6767266066792363,-11.340833951998835,7,-1596.654641030152,3207.5332820603044,59.463004262205686,6.620234866923e-14
12.551881944445565,-11.5636130927238,NA,NA,8.975093772950054,NA,-11.213668724018143,6,-1598.5891628157824,3209.3459903022235,61.27571250412484,2.67453819148543e-14
17.879127839189525,-14.686276657206175,NA,3.7776460199168453,NA,-1.5847796650684378,-11.671831361257603,7,-1598.4168532531846,3211.0577065063694,62.98742870827073,1.13646051908919e-14
8.235772772798054,NA,NA,-0.7272514185461784,11.821518969815388,-1.7513023288040837,-11.488532712151,7,-1598.554885251975,3211.3337705039503,63.263492705851604,9.89937594086905e-15
17.95848318301816,-14.944139368617767,NA,3.3679072242557475,NA,NA,-11.583245525772256,6,-1600.2974341278045,3212.762532926268,64.69225512816911,4.84569415593539e-15
8.241212063006818,NA,NA,-1.149670322104115,11.821857868591007,NA,-11.403580886976052,6,-1600.5351777816024,3213.2380202338636,65.16774243576492,3.82036838533789e-15
8.039469425384805,NA,NA,NA,11.556149133222986,-1.7823998889188093,-11.352967978433929,6,-1601.1218620838147,3214.411388838288,66.34111104018939,2.12476785501289e-15
19.971596190088892,-15.73991303335923,NA,NA,NA,-1.468975851061089,-12.139602744177415,6,-1601.2099153548618,3214.5874953803823,66.51721758228359,1.94567562280163e-15
9.478439771052791,NA,8.289460082302693,NA,NA,-0.6399556160174075,NA,5,-1603.001378226035,3216.1222783644207,68.05200056632202,9.03226242666929e-16
19.830169736414252,-15.874832192816614,NA,NA,NA,NA,-12.000252703611674,5,-1603.0255783857936,3216.1706786839377,68.10040088583901,8.81630388806382e-16
