(Intercept),elevation_change,height,latitude,n_seasons,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
13.786602373349567,NA,8.526072053523624,NA,1.431539789922926,-1.508799242500181,-12.67979900967746,7,-1576.1925745596648,3166.6091491193297,14.219957679468735,0.00039746716841996
13.677946744103307,NA,8.527969698419593,NA,1.336361751552357,NA,-12.54936553517433,6,-1578.0239243391418,3168.2155133489423,15.826321909081344,0.000178026109248536
14.858029652731378,NA,8.51694180776247,NA,NA,-1.5030468714155072,-12.79711207949304,6,-1578.7313469128435,3169.6303584963457,17.241167056484755,8.77513851147871e-05
14.677984332906275,NA,8.519718957608541,NA,NA,NA,-12.657574325305916,5,-1580.5591444858387,3171.237810884028,18.84861944416707,3.9282591374422e-05
4.3946404591965615,-14.249218130300047,8.515968696080739,10.615688542933347,5.951697261524086,-1.089640440989311,NA,8,-1586.8843748908712,3190.057326936051,37.66813549619019,3.21806004060274e-09
4.489004296818783,-14.442590545748171,8.517099353994958,10.282279881284929,5.968978575086113,NA,NA,7,-1588.5149958385482,3191.2539916770966,38.86480023723561,1.76905646814961e-09
7.239100153220592,-13.026271372564183,8.459815600425419,13.149575216553652,NA,-1.0940201801759766,NA,7,-1590.1639281540033,3194.551856308007,42.16266486814584,3.40110069532575e-10
7.341676419621413,-13.216274610068176,8.461165159323077,12.822493203951721,NA,NA,NA,6,-1591.7958463409277,3195.759357352514,43.37016591265319,1.85957616019791e-10
6.760619022901603,-17.651495816066493,8.42716528053299,NA,10.273582372651976,-0.6328195052208969,NA,7,-1592.1040294795473,3198.432058959095,46.04286751923382,4.88702082996789e-11
1.0011576420164425,NA,8.467665410131163,13.503364344921769,3.739731995656407,-1.2146880054854328,NA,7,-1592.4938491867233,3199.211698373447,46.82250693358583,3.30938765380787e-11
6.766455154039117,-17.702627755220558,8.43006021862469,NA,10.212098175736472,NA,NA,6,-1593.5841162354054,3199.3358971414696,46.94670570160861,3.1101277092439e-11
1.0603610383843503,NA,8.468147753077893,13.177875015767832,3.716520792217905,NA,NA,6,-1594.1776741676529,3200.5230130059645,48.13382156610351,1.71790557032707e-11
3.033425953730347,NA,8.440315563275787,14.991129786421793,NA,-1.2131280437379648,NA,6,-1595.2758476571105,3202.7193599848797,50.33016854501875,5.72886517115354e-12
3.079696842153374,NA,8.441333109083393,14.657071683900032,NA,NA,NA,5,-1596.958677142098,3204.0368761965465,51.64768475668552,2.96465110650269e-12
13.869030517984886,-16.76399058905595,8.310839514272066,NA,NA,-0.52962403186892,NA,6,-1597.0620753935489,3206.2918154577565,53.902624017895505,9.60107256024217e-13
13.838301732274024,-16.811043356199853,8.313245217818704,NA,NA,NA,NA,5,-1598.519280607231,3207.1580831268125,54.76889168695152,6.22604302623422e-13
17.857424996289353,-14.716731610999998,NA,3.691866589410659,0.1192835524285376,-1.5767713310850315,-11.719300881354842,8,-1595.8606322732148,3208.0098417007384,55.62065026087748,4.06682133590557e-13
