"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"153",153,29.4652380952381,38.1,24.1,13.1614583333333,15.6,11.2,28.5693650793651,41.27,18.08,15.882868286445,26.989,9.14
"154",154,29.6092857142857,38.5,23.3,13.5432291666667,15.7,11.7,28.6680456349206,40.57,17.84,16.9740365515772,25.695,9.238
"155",155,29.9845535714286,39.5,23.9,13.5130208333333,15.8,12.1,29.0571577380952,40.11,19.41,16.9433523017903,25.72,8.045
"156",156,30.238005952381,40.4,25.2,13.4270833333333,16.8,11.2,29.6584375,43.71,19.51,18.3965517902813,28.245,9.26
"157",157,30.3972321428571,41.1,24.3,14.1421875,17.2,11.1,29.994310515873,44.01,19.84,19.4035615942029,28.221,10.1
"158",158,30.6927976190476,41.4,24.7,14.790625,17.5,11.9,29.8133978174603,42.95,16.92,18.5871481244672,27.924,9.213
"159",159,30.0134722222222,37.6,24.2,14.9552083333333,17.5,13,28.9847043241695,40.23,16.13,17.7500251491901,24.919,10.15
"160",160,29.999053030303,38,24.5,14.4239583333333,17,12.4,28.2344570707071,40.11,18.15,16.3458799019608,25.48,9.81
"161",161,30.1756985294118,37.7,24.3,14.6208333333333,16.5,12.7,28.5919610281924,41.04,18.89,16.2832652387042,26.26,9.71
"162",162,30.764880952381,39.2,25.1,14.4015625,16.2,12.2,27.3104662698413,40.78,17.56,14.9685534953112,27.16,7.22
"163",163,30.35375,38.3,24.9,14.1666666666667,16,12,27.4975942460317,40.43,15.77,16.002895140665,26.82,7.57
"164",164,30.473869047619,38.6,24.5,14.4276041666667,16.8,12.1,27.6889103232534,39.6,16.11,16.91054614237,25.53,6.26
"165",165,30.890315920398,39,25,14.4557291666667,16.5,12.5,28.6293224656139,40.17,19.51,16.3666763640239,24.61,9.509
"166",166,31.307619047619,40.1,25.9,14.4046875,16.5,12.9,29.5921626984127,40.8,19.32,17.4708741474851,25.72,8.866
"167",167,31.5536607142857,40.3,26.3,15.0145833333333,16.9,13.2,29.5531597222222,42.18,20.03,18.1510344202899,25.38,9.76
"168",168,31.2789880952381,40.9,25.7,15.5083333333333,17.6,13.8,29.363125,41.71,17.94,18.8079721867008,26.036,8.568
"169",169,31.1469047619048,41.1,22.3,16.0208333333333,18.5,14.2,30.3154910714286,40.86,20.75,20.0184310938846,28.25,9.064
"170",170,31.4416071428571,40.9,24.3,16.5635416666667,18.9,14.7,30.5715277777778,42.56,20.25,22.0729968030691,29.64,9.829
"171",171,31.8415773809524,41.1,24.9,17.2401041666667,19.3,15.5,31.0765674603175,45.09,19.84,23.19742912,30.849,10.3
"172",172,32.1416071428571,41.3,25.1,17.6572916666667,19.8,15.5,31.1614583333333,46.04,22.11,22.0636490835465,29.92,11.1
"173",173,32.5252976190476,41.4,26.1,17.6385416666667,19.4,15.7,31.3503224206349,41.5,21.49,20.8371497229327,28.17,10.44
"174",174,32.9115773809524,42.1,27.2,17.7296875,19.6,16,32.0314087301587,42.65,21.22,21.3022001278772,27.9,9.51
"175",175,33.1007738095238,41.4,28.3,16.1203125,18.1,13,31.4904662698413,42.09,20.77,18.4749183716965,29.29,11.053
"176",176,32.9852380952381,41.7,28.4,15.525,17.1,13.5,31.0108333333333,41.65,18.56,18.7683283248082,27.7,9.71
"177",177,32.4188319088319,42.3,25.4,15.5984375,17.6,14.3,30.7484359217172,43.56,22.03,18.9233769181586,26.158,11.467
"178",178,32.4332222222222,42.1,25.6,15.3911458333333,17.6,14.4,30.7143611111111,44.26,21.34,18.084771312873,26.33,10.565
"179",179,32.1971111111111,40.8,25.9,15.3348958333333,17.3,14.2,31.3529212962963,42.15,20.29,18.2876190323956,28.99,12.195
"180",180,32.4335,40.7,25.5,15.9489583333333,17.5,14.6,31.9520046296296,44.6,21.56,19.3591920289855,27.01,10.61
"181",181,32.6022777777778,40.6,27.1,15.9416666666667,17.7,14.8,30.8725972222222,43.07,19.41,17.5914050511509,27.92,11.54
"182",182,32.1741666666667,41,26.49,15.2083333333333,16.5,14.2,29.9785185185185,42.21,18.7,15.0115601023018,26.97,11.929
"183",183,31.9939722222222,41,25.52,14.6666666666667,16.8,13.5,30.7477416666667,44.5,18.414,15.9605481670929,25.53,10.61
"184",184,32.2371111111111,41.5,25.21,14.8161458333333,16.7,13.2,29.853362962963,43.28,19.79,16.732060741688,25.26,11.88
"185",185,31.7842222222222,41.1,25.63,14.7276041666667,15.5,13.5,28.2781416666667,38.76,19.39,17.4207167519182,24.9,11.42
"186",186,30.6175277777778,41.2,23.7,14.5932291666667,15.7,13.6,26.6843938519544,39.177,18.27,17.1680545609548,25.6,10.66
"187",187,30.1457222222222,41.6,21.6,14.9276041666667,16.9,13.6,28.8306509259259,40.89,18.79,17.7163059462916,26.92,9.81
"188",188,30.8331944444444,39.1,23.1,14.9229166666667,17.1,13.6,29.2638009259259,41.97,19.89,17.3710046888321,27.78,11.856
"189",189,31.0774444444444,40,23.7,14.9385416666667,16.3,13.3,30.4672194444444,41.47,21.49,16.5245617007673,26.57,13.088
"190",190,30.961,37.7,25.7,14.8833333333333,16.8,13.6,29.1997222222222,41.53,17.7,16.2757643861893,22.68,12.534
"191",191,30.5345555555556,38.1,23.8,14.9515625,16.5,13.4,29.1605101851852,40.4,20.17,15.6457674765558,23.5,9.903
"192",192,30.5255833333333,40,25,15.0822916666667,17,13.4,28.6028712962963,40.314,20.91,15.1261411977835,24.05,7.343
"193",193,30.6294444444444,40.9,23.4,15.5005208333333,17,13.7,28.9534342592593,40.95,19.15,14.4157603367434,23.689,3.932
"194",194,30.9029444444444,41.6,24.1,15.5161458333333,17,14.2,29.4206018518519,41.53,19.22,13.5475842924126,23.088,5.745
"195",195,30.2884722222222,37.9,24.3,15.4328125,17.6,14.2,28.2603194444444,40.09,17.18,12.2886049658994,22.633,4.61
"196",196,30.1399722222222,41,23.7,15.2666666666667,17.3,13.3,28.6301342592593,41.88,17.34,12.6615963341858,23.04,5.591
"197",197,29.9984444444444,37.9,22.2,15.4875,17.8,13.4,28.6729305555556,41.47,17.18,13.7777717391304,21.53,6.153
"198",198,30.1595277777778,41.9,22,15.4661458333333,17.6,13.5,28.6345231481481,40.6,18.27,12.9870866368286,21.079,6.788
"199",199,29.6641111111111,41,22.5,14.9265625,16.7,13.3,28.1156527777778,38.76,19.08,12.4968735080989,21.748,5.591
"200",200,29.8294722222222,42.5,22,14.5182291666667,16.7,12.7,28.84775,39.77,19.84,12.573778026428,23.16,4.141
