"","julian","low_soil_mean","low_soil_max","low_soil_min","mid_soil_mean","mid_soil_max","mid_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_ground_mean","low_ground_max","low_ground_min","mid_ground_mean","mid_ground_max","mid_ground_min","high_ground_mean","high_ground_max","high_ground_min","low_air_mean","low_air_max","low_air_min","mid_air_mean","mid_air_max","mid_air_min","high_air_mean","high_air_max","high_air_min"
"51",51,6.88522624434389,9.65,4.631,3.44225694444444,6.075,0.904,NA,NA,NA,6.74439819004525,10.0775,4.1833,3.43010711805556,6.6555,-0.153,NA,NA,NA,7.0750232,16.1092,-0.41839,2.12207041180556,12.4173,-6.4207,-3.09694616666667,4.701,-8.7748
"52",52,6.84261506276151,9.49,4.44,3.27999305555556,6.228,0.825,NA,NA,NA,6.75399456066946,9.6275,3.9003,3.21364079861111,6.6943,0.093,NA,NA,NA,6.489815455875,14.8418,-3.356,2.45056619444444,11.4401,-7.7514,-0.396175833333333,6.9304,-6.6278
"53",53,6.9988544600939,9.21,4.432,3.37394791666667,6.701,0.69,NA,NA,NA,6.96673990610329,9.6475,3.758,3.2941875,7.3445,-0.42575,NA,NA,NA,7.85793004694836,13.0797,2.6518,5.53597194444444,14.3996,-5.6932,1.71731678504673,8.8364,-4.75
"54",54,6.55626363636364,8.92,3.586,3.55543055555556,6.634,0.714,NA,NA,NA,6.46275636363636,9.24,3.1757,3.45670763888889,8.1493,-0.543,NA,NA,NA,6.98420397260274,13.3472,-1.4588,4.08518267361111,12.4214,-5.01,5.0972426875,9.4396,-1.4908
"55",55,5.8874932735426,8.11,3.478,3.37629513888889,6.569,0.835,NA,NA,NA,5.90380852017937,8.6975,3.0553,3.30569826388889,7.9348,0.22475,NA,NA,NA,6.473099,17.2485,-3.2515,3.94390653402778,11.4704,-4.1096,4.56436972477064,11.0369,-15.37
"56",56,5.85122083333333,8.25,3.384,3.44532291666667,6.83,0.8,NA,NA,NA,5.83822083333333,8.325,3.123,3.46617951388889,9.0675,-0.07875,NA,NA,NA,7.81919005416667,18.2587,-3.56,3.76919486111111,10.6776,-6.1791,2.37528166666667,8.482,-13.85
"57",57,6.14996126760563,8.53,3.508,3.26452777777778,6.616,0.821,NA,NA,NA,6.08991725352113,9.0025,3.0352,3.22306267361111,7.3752,0.13675,NA,NA,NA,8.67639805243446,18.461,-1.4006,1.67773965972222,11.6679,-6.4854,1.37825170833333,9.7903,-12.82
"58",58,6.28773611111111,8.75,3.72,2.86656597222222,4.878,0.791,NA,NA,NA,6.18733645833333,9.22,2.815,2.75819479166667,6.226,0.01925,NA,NA,NA,7.30046301736111,18.7789,-1.5243,2.42513911458333,11.2589,-4.5445,0.725299725,9.5596,-10.41
"59",59,6.34998263888889,8.31,4.012,3.03228125,5.055,0.812,NA,NA,NA,6.30672395833333,8.765,3.146,2.90394166666667,5.4428,0.04525,NA,NA,NA,6.38155620138889,17.195,-0.16991,2.91669136111111,8.9798,-7.6984,-2.64393166666667,7.5359,-9.62
"60",60,6.60020737327189,8.2,4.077,2.89027430555556,5.935,0.823,NA,NA,NA,6.53020783410138,8.7775,3.537,2.80208090277778,7.6102,-0.125,NA,NA,NA,6.27515944017094,14.364,-1.4038,1.69435971875,11.0351,-9.6074,-3.23970666666667,7.6253,-11.8702
