"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"252",252,NA,NA,NA,NA,NA,NA,17.8805028044872,40.19,3.773,22.4034599358974,32.48,7.04
"253",253,NA,NA,NA,NA,NA,NA,17.9819274839744,38.17,2.02,22.7033934294872,31.31,10.83
"254",254,NA,NA,NA,NA,NA,NA,17.4283601762821,35.48,4.419,22.2374387019231,31.7,6.892
"255",255,NA,NA,NA,NA,NA,NA,17.5515633012821,34.71,4.722,20.7150825320513,29.36,5.557
"256",256,NA,NA,NA,NA,NA,NA,16.2387211538462,33.9,2.86,19.7141185897436,29.4,5.513
"257",257,NA,NA,NA,NA,NA,NA,15.0983365384615,33.55,1.909,17.9482039262821,28.68,6.877
"258",258,NA,NA,NA,NA,NA,NA,13.4737844551282,31.22,1.333,14.6790985576923,27.95,4.184
"259",259,NA,NA,NA,NA,NA,NA,13.6238790064103,30.18,1.438,15.0972215544872,26.47,4.062
"260",260,NA,NA,NA,NA,NA,NA,14.5051814903846,33.04,2.6,15.5059931891026,28.04,6.236
"261",261,NA,NA,NA,NA,NA,NA,15.3472423878205,33.81,3.952,16.7778249198718,28.81,5.027
"262",262,NA,NA,NA,NA,NA,NA,15.737483974359,34.04,2.979,18.2554158653846,29.29,4.847
"263",263,NA,NA,NA,NA,NA,NA,15.6044495192308,34.9,4.359,18.606421474359,28.99,2.859
"264",264,NA,NA,NA,NA,NA,NA,14.5623713942308,34.84,3.393,17.3090352564103,30.48,2.19
"265",265,NA,NA,NA,NA,NA,NA,14.0173233173077,35.87,1.143,15.7637720352564,31.05,3.728
"266",266,NA,NA,NA,NA,NA,NA,14.6211029647436,35.6,2.244,16.1668221153846,30.72,3.332
"267",267,NA,NA,NA,NA,NA,NA,14.5846013621795,34.03,3.616,15.7991005608974,29.33,4.574
"268",268,NA,NA,NA,NA,NA,NA,14.5139595352564,35.32,4.088,15.7708998397436,30.28,2.697
"269",269,NA,NA,NA,NA,NA,NA,15.0539899839744,39.29,1.254,18.023719150641,33.56,2.815
"270",270,NA,NA,NA,NA,NA,NA,15.3971724829523,37.99,1.926,20.0509366987179,32.4,7.351
"271",271,NA,NA,NA,NA,NA,NA,14.9823032852564,35.62,3.264,19.5021085737179,30.88,5.319
"272",272,NA,NA,NA,NA,NA,NA,14.6576578525641,35.54,0.729,16.311593349359,30.49,2.253
"273",273,NA,NA,NA,NA,NA,NA,13.6356939102564,33.8,0.396,14.336327724359,28.35,2.526
"274",274,NA,NA,NA,NA,NA,NA,12.8294711538462,34.64,2.174,12.9780388621795,29.93,4.383
"275",275,NA,NA,NA,NA,NA,NA,12.8379907852564,37.04,2.102,13.7218657852564,32.39,3.244
"276",276,NA,NA,NA,NA,NA,NA,12.1746574519231,36.26,1.441,12.5429138621795,30.11,-0.478
"277",277,NA,NA,NA,NA,NA,NA,11.8659931891026,33.95,0.265,13.1306915064103,29.02,-0.683
"278",278,NA,NA,NA,NA,NA,NA,11.2699487179487,32.74,-1.039,13.9203858173077,28.33,1.135
"279",279,NA,NA,NA,NA,NA,NA,11.6944366987179,33.21,-0.15,13.5021951121795,28.87,2.432
"280",280,NA,NA,NA,NA,NA,NA,11.7653517628205,32.62,-0.834,14.5187544070513,25.5,4.872
"281",281,NA,NA,NA,NA,NA,NA,12.5700713141026,30.01,0.328,14.7139811698718,24.98,3.385
"282",282,NA,NA,NA,NA,NA,NA,12.4610120192308,28.86,1.148,14.0968341346154,24.58,1.771
"283",283,NA,NA,NA,NA,NA,NA,11.9475789262821,28.47,0.943,14.113328125,23.24,5.507
"284",284,NA,NA,NA,NA,NA,NA,11.5199859775641,29.47,0.123,13.2850689102564,22.99,3.018
"285",285,NA,NA,NA,NA,NA,NA,11.3382047275641,31.42,-1.184,14.858516025641,26.96,2.594
"286",286,NA,NA,NA,NA,NA,NA,11.4101955128205,33.11,0.162,15.5612668269231,28.4,5.036
"287",287,NA,NA,NA,NA,NA,NA,12.0621887019231,31.51,0.837,14.6554983974359,27.98,6.657
"288",288,NA,NA,NA,NA,NA,NA,11.8813545673077,29.2,-1.808,14.8256726762821,25.2,4.674
"289",289,NA,NA,NA,NA,NA,NA,11.9228846153846,28.66,-0.919,14.6742199519231,24.47,4.412
"290",290,NA,NA,NA,NA,NA,NA,11.7484562951083,27.33,-0.244,13.3750140336808,23.33,2.993
"291",291,NA,NA,NA,NA,NA,NA,11.7202003205128,26.98,0.558,14.3753934294872,25.37,4.297
"292",292,NA,NA,NA,NA,NA,NA,11.508375,28.93,1.193,13.3460544871795,26.27,2.443
"293",293,NA,NA,NA,NA,NA,NA,10.4902536057692,28.03,1.994,13.3704891826923,23.11,1.56
"294",294,NA,NA,NA,NA,NA,NA,10.1170480769231,26.15,1.234,12.8503377403846,22.74,1.622
"295",295,NA,NA,NA,NA,NA,NA,10.2937219551282,25.51,-1.166,13.0567387820513,24,2.327
"296",296,NA,NA,NA,NA,NA,NA,10.4722219551282,24.42,0.814,13.424405849359,26.46,-0.25
"297",297,NA,NA,NA,NA,NA,NA,10.1219627403846,24.68,-0.173,12.3989871794872,26.53,-0.417
"298",298,NA,NA,NA,NA,NA,NA,10.0258036858974,24.1,1.976,11.2973377403846,26.12,-0.057
"299",299,NA,NA,NA,NA,NA,NA,9.56397235576923,26.21,-1.119,12.0131286057692,25.4,0.819
"300",300,NA,NA,NA,NA,NA,NA,9.70504166666667,23.12,-1.054,11.3732019230769,26.07,-0.205
"301",301,NA,NA,NA,NA,NA,NA,9.72874759615385,25.19,-1.859,10.7098729967949,24.62,-0.205
"302",302,NA,NA,NA,NA,NA,NA,9.47851201923077,23.51,-0.553,11.8867792467949,23.21,3.407
"303",303,NA,NA,NA,NA,NA,NA,9.91587620192308,23.31,0.125,12.1942676282051,20.09,3.032
"304",304,NA,NA,NA,NA,NA,NA,10.0587275641026,23.16,-0.214,11.4087079326923,19.38,2.719
"305",305,NA,NA,NA,NA,NA,NA,9.51848717948718,23.72,1.346,9.99896995192308,22.15,2.028
"306",306,NA,NA,NA,NA,NA,NA,8.79078645833333,23.87,-0.512,8.70583012820513,22.73,1.471
"307",307,NA,NA,NA,NA,NA,NA,7.48849559294872,22.09,-2.286,7.7411891025641,21.65,-1.907
"308",308,NA,NA,NA,NA,NA,NA,7.00543629807692,20.89,-1.818,8.43354286858974,21.02,-2.762
"309",309,NA,NA,NA,NA,NA,NA,7.49029487179487,20.94,-1.42,9.71158253205128,21.67,-1.088
"310",310,NA,NA,NA,NA,NA,NA,7.97274479166667,20.77,-1.724,10.1337828525641,24.33,-0.152
"311",311,NA,NA,NA,NA,NA,NA,7.82409975961538,21.29,-1.364,9.39331530448718,21.4,0.046
"312",312,NA,NA,NA,NA,NA,NA,7.82217067307692,20.35,-2.366,8.86779447115385,20.52,-0.1
"313",313,NA,NA,NA,NA,NA,NA,6.42884695512821,19.7,-4.214,7.99593429487179,20.44,-1.995
"314",314,NA,NA,NA,NA,NA,NA,6.96653525641026,19.69,-4.242,8.21030568910256,18.63,-3.183
"315",315,NA,NA,NA,NA,NA,NA,6.50054046474359,19.42,-4.573,7.79783453525641,20.02,-2.627
"316",316,NA,NA,NA,NA,NA,NA,7.2139859775641,18.48,-4.282,7.93068444625407,17.74,-1.285
"317",317,NA,NA,NA,NA,NA,NA,7.69418108974359,18.56,-2.611,8.82443147620984,17.86,1.036
"318",318,NA,NA,NA,NA,NA,NA,7.5184811698718,18.99,-3.952,8.21980208333333,16.89,0.638
"319",319,NA,NA,NA,NA,NA,NA,7.00984135541009,18.62,-3.381,8.05670590505596,18.42,-2.895
"320",320,NA,NA,NA,NA,NA,NA,6.23139360119048,16.84,-3.075,7.36333817504655,17.89,-2.948
"321",321,NA,NA,NA,NA,NA,NA,5.6407771577381,15.4,-3.127,6.45671614583333,16.08,-0.815
"322",322,NA,NA,NA,NA,NA,NA,5.2994375,15.75,-3.602,5.65951264880952,17.25,-3.144
"323",323,NA,NA,NA,NA,NA,NA,5.86562834821429,14.9,-3.522,4.77086661698957,17.58,-4.024
"324",324,NA,NA,NA,NA,NA,NA,7.62152418154762,17.49,-3.386,5.54637090773809,16.02,-2.748
"325",325,NA,NA,NA,NA,NA,NA,8.48701078869048,16.94,-0.766,5.78309114583333,15.11,-2.728
"326",326,NA,NA,NA,NA,NA,NA,8.56280952380952,20.22,-0.219,6.27301525297619,17.93,-1.353
"327",327,NA,NA,NA,NA,NA,NA,6.8322615327381,17.18,-3.039,6.70164769345238,15.83,-6.817
"328",328,NA,NA,NA,NA,NA,NA,5.08114174107143,14.71,-4.368,5.6932697172619,18.38,-5.775
"329",329,NA,NA,NA,NA,NA,NA,4.8228634672619,15.3,-3.892,7.60820163690476,17.6,-4.248
"330",330,NA,NA,NA,NA,NA,NA,5.82912016369048,14.31,-2.852,7.19199739583333,16.38,-1.978
"331",331,NA,NA,NA,NA,NA,NA,5.53565811011905,16.05,-5.08,5.19328794642857,13.74,-3.053
"332",332,NA,NA,NA,NA,NA,NA,4.94986383928571,14.08,-6.164,4.73199851190476,14.36,-3.651
"333",333,NA,NA,NA,NA,NA,NA,5.0002771577381,12.41,-6.872,5.8781015625,16.48,-2.252
"334",334,NA,NA,NA,NA,NA,NA,5.02152641369048,13.79,-3.459,5.53772730654762,15.43,-1.167
"335",335,NA,NA,NA,NA,NA,NA,5.6311640625,14.7,-2.907,6.14598251488095,15.53,-1.481
"336",336,NA,NA,NA,NA,NA,NA,6.14344642857143,14.52,-2.679,5.39874739583333,13.7,-1.717
"337",337,NA,NA,NA,NA,NA,NA,5.20417410714286,14.31,-3.222,3.91816852678571,16.16,-3.896
"338",338,NA,NA,NA,NA,NA,NA,4.32309635416667,14.41,-5.639,5.1620744047619,13.6,-4.329
"339",339,NA,NA,NA,NA,NA,NA,4.57584188988095,15.2,-8.16,5.54077492559524,16.38,-3.957
"340",340,NA,NA,NA,NA,NA,NA,4.4930390625,18.12,-8.25,4.82842894345238,15.87,-6.938
"341",341,NA,NA,NA,NA,NA,NA,4.02068526785714,14.39,-6.086,4.37021614583333,18.37,-8.98
"342",342,NA,NA,NA,NA,NA,NA,4.43000409226191,14.84,-8.65,6.01964953445065,16.28,-8.1
