(Intercept),elevation_change,height,latitude,n_months,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.39100811767981775,NA,0.20737658733326933,NA,NA,-0.1982428849628711,NA,5,251.68015996764169,-493.2407980229328,30.472481849532585,1.79167308537679e-07
0.3020853526729157,NA,0.20896477650296813,0.20674992935383077,NA,-0.2052576959145909,NA,6,251.9185958031736,-491.6695269356885,32.043752936776855,8.16698181105653e-08
0.28076978402333386,NA,0.2086220118875933,NA,0.16142000641197438,-0.19982294809310425,NA,6,251.3727132981571,-490.5777619256555,33.13551794680984,4.73137998827532e-08
0.4345849661072069,-0.7439507452090434,0.20895626133568765,-0.03462038499959631,0.2190231103310256,NA,NA,7,252.14478234856742,-490.06556469713485,33.64771517533052,3.6623986366865e-08
0.5321504731616251,-0.6938224058524851,0.20751809819411107,0.056727224435836436,NA,NA,NA,6,251.03930097521817,-489.91093727977767,33.802342592687694,3.38991412526604e-08
0.25124172944339906,NA,0.20953448787112688,0.1678218347980184,0.09896201127716606,-0.2048548212336866,NA,7,251.0792436267474,-487.9344872534948,35.778792618970556,1.26185085559699e-08
0.4507472438693273,NA,0.21130726986155626,NA,NA,NA,-0.1829073697290699,5,247.33234178605693,-484.54516165976327,39.1681182127021,2.31752978892056e-09
0.6740232587207006,-0.6714082434432245,NA,NA,NA,-0.21610952933403818,-0.18038087993432125,6,246.4527968049458,-480.7379289392329,42.97535093323245,3.45378456444573e-10
0.41124461299909576,NA,0.2117534594777535,NA,0.05495821194466878,NA,-0.17820691396101165,6,246.25979995645875,-480.35193524225883,43.36134463020653,2.84759209015463e-10
0.43732146713556885,NA,0.21155224021939237,0.028247766013955518,NA,NA,-0.17994677514683874,6,246.22198486664487,-480.2763050626311,43.43697480983428,2.74192071776886e-10
0.3748924459558523,NA,0.20816441505309635,NA,NA,NA,NA,4,242.703850917261,-477.32817897169895,46.38510090076642,6.27881152044972e-11
0.5985783752163618,-0.6835193702848329,NA,NA,0.10443613337463813,-0.21692031028911002,-0.16321000262489413,7,245.6449341642045,-477.065868328409,46.647411544056354,5.50702964045564e-11
0.4099125874636579,NA,0.2118291540000043,0.009807432405608673,0.05048530414372632,NA,-0.1777781362161508,7,245.2008085776074,-476.1776171552148,47.535662717250545,3.53212547034957e-11
0.6997145220199386,-0.6840112775860431,NA,-0.044011165434416626,NA,-0.21344790676054415,-0.1888684966601398,7,245.1162460370862,-476.0084920741724,47.704787798292955,3.24572019510547e-11
0.30988499488009785,NA,0.20945280084714873,0.15024438307442248,NA,NA,NA,5,242.2606668765326,-474.40181184071463,49.311468031750735,1.45353300605361e-11
0.2744430710761767,NA,0.20936976284869255,NA,0.14692764892555848,NA,NA,5,242.23383946774328,-474.34815702313597,49.365122849329396,1.41505689667746e-11
0.6316210328530976,-0.7131495424435497,NA,-0.09200283663432927,0.13322173521497505,-0.21165969467879925,-0.17657682994537297,8,244.68040099388935,-473.0722248334701,50.64105503899526,7.47667921439278e-12
0.5993465147602989,-0.6794106089328376,NA,NA,NA,-0.19905312007667417,NA,5,240.8042299660193,-471.488938019688,52.22434185277734,3.38768003352937e-12
0.4741781779823962,-0.6997320354462055,NA,NA,0.1909014893963301,-0.20334018358134032,NA,6,241.76399188936136,-471.36031910806406,52.3529607644013,3.17667761479068e-12
0.2557785531357832,NA,0.21003244987011085,0.10892966373996894,0.10530896486507581,NA,NA,6,241.47732834205794,-470.7869920134572,52.92628785900814,2.3849360918411e-12
0.5555394424820685,-0.6540675318562627,NA,0.08706420240576336,NA,-0.20488687613165524,NA,6,239.78438016843842,-467.40109566621817,56.312184206247196,4.38771788291252e-13
0.47256571921422647,-0.6970584988634221,NA,0.008407946469903326,0.18704910608283332,-0.20363593046125242,NA,7,240.320355811865,-466.41671162373,57.296568248735355,2.68214601575171e-13
0.5026781296172883,NA,NA,NA,NA,-0.2144053069826832,-0.1916501417448901,5,236.43880214996938,-462.75808238758816,60.9551974848772,4.30547600124007e-14
0.6531542723959518,-0.6918212621865789,NA,NA,NA,NA,-0.15918292714692964,5,236.10924748694885,-462.0989730615471,61.614306810918265,3.09668764350484e-14
0.4781844582851633,NA,NA,0.05136972618043453,NA,-0.21558853179465032,-0.18577569511401482,6,235.3587234991642,-458.54978232766973,65.16349754479563,5.25049713339588e-15
0.47592722771937945,NA,NA,NA,0.037174611641054005,-0.2142958287235721,-0.18830314304889517,6,235.28283138671225,-458.3979981027658,65.31528176969954,4.86677087137818e-15
0.7114038172345568,-0.7196872081693025,NA,-0.10001381548088388,NA,NA,-0.17762152987069213,6,235.22561843017434,-458.28357218969,65.42970768277536,4.59614401892549e-15
0.5818369113672034,-0.7034829891885408,NA,NA,0.09921330312524003,NA,-0.1436670585101887,6,235.21807940435474,-458.2684941380508,65.44478573441455,4.56162385818922e-15
0.5880425087653677,-0.6973908116513453,NA,NA,NA,NA,NA,4,232.47873302262627,-456.8779431824295,66.83533669003589,2.27596284531273e-15
0.47221386369842133,-0.7168239771492072,NA,NA,0.17654711410986085,NA,NA,5,232.95871549642538,-455.7979090805002,67.91537079196519,1.32629075584453e-15
0.6354136848218026,-0.7522775204447854,NA,-0.153863403246716,0.14958053057286727,NA,-0.16459979317565088,7,234.9912095880921,-455.7584191761842,67.95486069628117,1.30036005103245e-15
0.42156418046753263,NA,NA,NA,NA,-0.20062553245849196,NA,4,231.34008115294975,-454.60063944307643,69.11264042938893,7.28878171589181e-16
0.46666557992113306,NA,NA,0.043017677582643465,0.021739661713530496,-0.21510818408701668,-0.1851023819730058,7,234.2434135315508,-454.2628270631016,69.45045280936375,6.1560185229965e-16
0.3462523720879038,NA,NA,0.17570224703089257,NA,-0.20729578444859012,NA,5,231.19928075398215,-452.2790395956137,71.43424027685165,2.2831053026399e-16
