(Intercept),elevation_change,height,latitude,n_years,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.5951148482965483,-0.6735630779900441,0.21280932566227667,NA,0.21442093013530705,NA,-0.1703442907839172,7,258.4874152044972,-502.75083040899443,21.904454892655338,8.89225554280306e-06
0.6998404297227423,-0.7164482816578469,0.21058063105485889,-0.20885979171931984,0.3221995680501215,NA,-0.20916538782404495,8,259.3038415142385,-502.31910587416843,22.33617942748134,7.16579109909715e-06
0.45903673371028425,NA,0.21093433120119554,-0.0521353956041358,0.32698596457068363,-0.21425834129932972,-0.20419763458672613,8,258.41834884279666,-500.5481205312847,24.107164770365046,2.95596687009163e-06
0.4395785541391652,NA,0.21133550626480613,0.07726037520464407,NA,-0.2143455150190367,-0.19459519660597094,7,257.23002473620727,-500.23604947241455,24.41923582923522,2.5289147696298e-06
0.6767364579844952,-0.724849554949902,0.2112259051605966,-0.0764975614159724,NA,NA,-0.19017068105528984,7,256.59459303456634,-498.9651860691327,25.69009923251707,1.33958325822199e-06
0.5609649118020855,-0.7097793225318313,0.20653678021709665,NA,NA,NA,NA,5,252.29647563213783,-494.47342935192506,30.181855949724707,1.41774176395014e-07
0.5228240478757109,-0.6764122965998085,0.20685644143545281,NA,0.23662418380381578,NA,NA,6,253.3110800177788,-494.45449536489895,30.200789936750823,1.40438334367608e-07
0.3512142967555126,NA,0.20754466784392747,NA,0.32346040993287134,-0.2013645127355823,NA,6,253.10375282647902,-494.0398409822994,30.615444319350388,1.14141773146933e-07
0.39100811767981775,NA,0.20737658733326933,NA,NA,-0.1982428849628711,NA,5,251.68015996764169,-493.2407980229328,31.41448727871699,7.65481397078337e-08
0.3020853526729157,NA,0.20896477650296813,0.20674992935383077,NA,-0.2052576959145909,NA,6,251.9185958031736,-491.6695269356885,32.98575836596126,3.48929316272348e-08
0.312378809554961,NA,0.2084859327569004,0.10750593269547783,0.26332899721297087,-0.20452156276206948,NA,7,252.3297290753947,-490.43545815078943,34.21982715086034,1.88262069167709e-08
