(Intercept),elevation_change,foliage_cover,height,latitude,snowdepth,veg_structure,foliage_cover:veg_structure,df,logLik,AICc,delta,weight
4.285052656504538,-0.045484774231520225,NA,NA,NA,NA,-0.03360757904953336,NA,5,-22395.146408482276,44800.300609172344,112.40223391347536,1.12224961698494e-25
4.323972099559207,-0.06465229428382943,NA,-6.873361093633689,NA,NA,-0.028094282860442674,NA,6,-22394.322615958103,44800.656142424064,112.75776716519613,9.39477538379299e-26
4.292655069879679,NA,-0.0011500334046530827,-5.911854963250196,NA,NA,NA,NA,5,-22395.375038386555,44800.7578689809,112.85949372203322,8.92887534817078e-26
4.359214428068563,-0.10135087473567468,NA,-2.7208036791834673,-0.07181551711492842,NA,-0.06353306373202226,NA,7,-22393.389825978342,44800.79420119025,112.89582593138039,8.76813688027708e-26
4.276595312620875,NA,-4.793123825995547e-4,NA,NA,NA,-0.0401161840980457,NA,5,-22395.399454840008,44800.80670188781,112.90832662893808,8.71350388214277e-26
4.291128807544974,NA,NA,-6.130638024587306,0.004186496332383176,NA,NA,NA,5,-22395.409965460363,44800.82772312852,112.92934786964906,8.62239917309325e-26
4.329345305155181,-0.09719531866244302,NA,-6.0407620943670874,-0.02638322665211929,NA,NA,NA,6,-22394.439687137008,44800.890284781875,112.99190952300705,8.3568582213268e-26
4.355290144302055,-0.10335964862873721,-0.0012012960181373026,NA,-0.08554109984618051,NA,-0.07043463649277776,NA,7,-22393.45982796669,44800.934205166945,113.03582990807627,8.1753403838224e-26
4.276048519782487,-0.05949109554623914,-9.637989488484403e-4,NA,NA,NA,NA,NA,5,-22395.49884225456,44801.00547671691,113.10710145804478,7.88913564450688e-26
4.319687164522268,-0.07756831194665384,-0.0011506364325570113,-7.391659523008505,NA,NA,NA,NA,6,-22394.576809664137,44801.16452983613,113.26615457726439,7.28603876090107e-26
4.3179600446936295,NA,NA,-2.980141839055272,-0.03774201023533832,NA,-0.060367466315903395,NA,6,-22394.58766545777,44801.1862414234,113.28786616452999,7.2073708018486e-26
