(Intercept),elevation_change,foliage_cover,height,latitude,snowdepth,veg_structure,foliage_cover:veg_structure,df,logLik,AICc,delta,weight
4.274173564571635,NA,-0.00998111751130365,NA,NA,-0.08168530678434172,-0.0039731094897353,NA,6,-23588.27114376039,47188.55160532444,10.873069648660021,0.00140284468254401
4.337968645729833,-0.07147260903673919,NA,-0.5284989725444851,NA,-0.0792854346204005,-0.031115260636838456,NA,7,-23587.46602542549,47188.944475967466,11.265940291683364,0.00115265360826067
4.30962911848377,NA,-0.04648958542635761,NA,-0.05537035921551644,-0.08195050359957887,-0.037030904877226725,0.05161814344935764,8,-23586.526308604665,47189.06859413155,11.390058455770486,0.00108329539560569
4.319144619865292,-0.0852464550137873,NA,-0.40763182526729186,NA,-0.07892821405031059,NA,NA,6,-23588.875418424323,47189.76015465231,12.081618976524624,0.000766613456461061
4.276302554276015,NA,-0.028628853191485077,NA,NA,-0.08181753405822624,-0.005724036595149743,0.02669607960481465,7,-23588.100887631055,47190.2142003786,12.535664702816575,0.00061091622781053
4.321181824382493,-0.08018629981009326,NA,-0.5910024535125834,0.031068731765753435,-0.07905735812559,NA,NA,7,-23588.190900351736,47190.39422581996,12.715690144177643,0.000558328289823324
4.336106054872742,-0.07136131811950908,NA,-0.5868263680052173,0.012822430618736069,-0.07929785671213523,-0.02664767172002469,NA,8,-23587.36364918328,47190.74327528878,13.064739613000711,0.000468915409193842
4.324335936072653,NA,NA,-0.5515558572094726,NA,-0.07987776500398637,-0.04014937398613172,NA,6,-23589.522601508783,47191.05452082123,13.375985145445156,0.000401336256882169
4.2950224886406465,NA,NA,-0.39248071962543646,NA,-0.07951988895194106,NA,NA,5,-23591.39086313181,47192.78838109947,15.109845423685329,0.000168657407462342
4.322423161913046,NA,NA,-0.6121440796610508,0.01332733418229163,-0.07989308969358949,-0.0354913109595834,NA,7,-23589.43703605912,47192.88649723473,15.207961558946408,0.00016058307582006
4.288158268846108,-0.08196223973769241,NA,NA,NA,-0.07963913602228656,NA,NA,5,-23591.473759050707,47192.95417293726,15.275637261474913,0.000155240195175405
4.29934990734106,NA,NA,-0.6222849475693815,0.038744084722365596,-0.07965282806300722,NA,NA,6,-23590.595226647987,47193.19977109964,15.521235423853796,0.000137300847114231
4.294911178298803,-0.08566438672059769,NA,NA,-0.017633456334001433,-0.0794273264123787,NA,NA,6,-23591.170574948286,47194.350467700235,16.671932024451962,7.72329502176092e-05
