(Intercept),elevation_change,height,latitude,n_months,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.5017023656598191,NA,8.479380891211648,13.07365958032292,4.909846489631681,-1.2089737403159642,NA,7,-1592.2683382694165,3198.760676538833,46.66672676917824,3.6087496606152e-11
0.5418917020118253,NA,8.480062162891766,12.735690749756017,4.922043313088125,NA,NA,6,-1593.9497173677496,3200.067099406158,47.97314963650297,1.87789209979581e-11
3.033425953730347,NA,8.440315563275787,14.991129786421793,NA,-1.2131280437379648,NA,6,-1595.2758476571105,3202.7193599848797,50.62541021522475,4.98585412583174e-12
3.079696842153374,NA,8.441333109083393,14.657071683900032,NA,NA,NA,5,-1596.958677142098,3204.0368761965465,51.94292642689152,2.58014763996126e-12
13.869030517984886,-16.76399058905595,8.310839514272066,NA,NA,-0.52962403186892,NA,6,-1597.0620753935489,3206.2918154577565,54.1978656881015,8.3558516052935e-13
13.838301732274024,-16.811043356199853,8.313245217818704,NA,NA,NA,NA,5,-1598.519280607231,3207.1580831268125,55.064133357157516,5.41854998896846e-13
16.884811361982635,-15.168381253863084,NA,2.94541921064312,2.1045083860769065,-1.5627035443015354,-11.57191713551523,8,-1595.827410590512,3207.943398335333,55.8494485656779,3.65892960024107e-13
3.0596101426204036,NA,8.372671064170593,NA,9.396210075459798,-0.7114442592703252,NA,6,-1598.5977137034774,3209.3630920776136,57.269142307958646,1.79916699017342e-13
16.911216803014554,-15.446490543546409,NA,2.501564963625024,2.2102894758991867,NA,-11.47701474784704,7,-1597.695661353246,3209.615322706492,57.521372936837,1.5859894323524e-13
3.0374104115207703,NA,8.375334606091814,NA,9.34404151275309,NA,NA,5,-1600.099641398379,3210.3188047091085,58.22485493945351,1.11568376465645e-13
17.879127839189525,-14.686276657206175,NA,3.7776460199168453,NA,-1.5847796650684378,-11.671831361257603,7,-1598.4168532531846,3211.0577065063694,58.96375673671446,7.71064354654641e-14
17.741519240135883,-16.124325792955595,NA,NA,3.2032568355205386,-1.4772541724031194,-11.79035999251349,7,-1598.5423406930167,3211.3086813860336,59.214731616378685,6.80130301264457e-14
17.95848318301816,-14.944139368617767,NA,3.3679072242557475,NA,NA,-11.583245525772256,6,-1600.2974341278045,3212.762532926268,60.66858315661284,3.28770069390054e-14
17.6239286973064,-16.255825137233145,NA,NA,3.168649477938046,NA,-11.65526361068532,6,-1600.3626381485071,3212.892940967673,60.79899119801803,3.08016886725158e-14
19.971596190088892,-15.73991303335923,NA,NA,NA,-1.468975851061089,-12.139602744177415,6,-1601.2099153548618,3214.5874953803823,62.493545610727324,1.32009963677856e-14
9.478439771052791,NA,8.289460082302693,NA,NA,-0.6399556160174075,NA,5,-1603.001378226035,3216.1222783644207,64.02832859476575,6.1281984566193e-15
19.830169736414252,-15.874832192816614,NA,NA,NA,NA,-12.000252703611674,5,-1603.0255783857936,3216.1706786839377,64.07672891428274,5.98167516926793e-15
13.362701258147087,NA,NA,5.931060357205127,-0.3359056334405197,-1.6874966832472251,-11.754850910735492,7,-1601.136563663029,3216.497127326058,64.40317755640308,5.08083864881283e-15
9.426420986597913,NA,8.291895305709055,NA,NA,NA,NA,4,-1604.4845414429058,3217.0486057486346,64.95465597897964,3.85641164332764e-15
13.327923944809088,NA,NA,5.514172166196313,-0.28168386245865173,NA,-11.655971097702869,6,-1603.0778482663256,3218.32336120331,66.22941143365506,2.03879591874251e-15
13.13538125389697,NA,NA,5.854559911663007,NA,-1.6972554578965382,-11.67787698855315,6,-1603.6868421610418,3219.5413489927423,67.44739922308736,1.10889664003212e-15
14.767143383336721,NA,NA,NA,1.6334790638816934,-1.545205176982426,-12.23721089951691,6,-1604.3468635271963,3220.8613917250514,68.76744195539641,5.73122462660046e-16
13.131955569218436,NA,NA,5.4532921209854495,NA,NA,-11.583499947492472,5,-1605.6339504908808,3221.387422894112,69.29347312445725,4.40576383107379e-16
