(Intercept),elevation_change,height,latitude,n_years,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
17.95848318301816,-14.944139368617767,NA,3.3679072242557475,NA,NA,-11.583245525772256,6,-1600.2974341278045,3212.762532926268,82.01071727981298,9.18995547891223e-19
19.971596190088892,-15.73991303335923,NA,NA,NA,-1.468975851061089,-12.139602744177415,6,-1601.2099153548618,3214.5874953803823,83.83567973392746,3.69001257086152e-19
9.478439771052791,NA,8.289460082302693,NA,NA,-0.6399556160174075,NA,5,-1603.001378226035,3216.1222783644207,85.37046271796589,1.71298655886629e-19
19.830169736414252,-15.874832192816614,NA,NA,NA,NA,-12.000252703611674,5,-1603.0255783857936,3216.1706786839377,85.41886303748288,1.67202959189295e-19
9.426420986597913,NA,8.291895305709055,NA,NA,NA,NA,4,-1604.4845414429058,3217.0486057486346,86.29679010217978,1.07796465098814e-19
13.13538125389697,NA,NA,5.854559911663007,NA,-1.6972554578965382,-11.67787698855315,6,-1603.6868421610418,3219.5413489927423,88.7895333462875,3.09964674446087e-20
13.131955569218436,NA,NA,5.4532921209854495,NA,NA,-11.583499947492472,5,-1605.6339504908808,3221.387422894112,90.63560724765739,1.23152249027067e-20
15.93679880007302,NA,NA,NA,NA,-1.5427449717209147,-12.369876068165041,5,-1606.8985993610104,3223.9167206343714,93.16490498791654,3.47706109404143e-21
15.753209240582532,NA,NA,NA,NA,NA,-12.228584496353237,4,-1608.7551560431275,3225.589834949078,94.83801930262325,1.50626076696584e-21
9.544980753161454,-12.258333213677549,NA,4.8618979279557,18.852663159512627,-1.149786713016938,NA,7,-1607.121186858354,3228.466373716708,97.71455807025313,3.57493135871955e-22
9.656037974741864,-12.457417744206085,NA,4.487512594333039,18.934779494831858,NA,NA,6,-1608.7994483137227,3229.766561298104,99.01474565164926,1.86610278673901e-22
11.576829430459904,-13.309626648703846,NA,NA,21.45199820906634,-0.8527328964121138,NA,6,-1610.1686043121865,3232.5048732950318,101.75305764857694,4.74590091130344e-23
11.542485801517941,-13.398787511035444,NA,NA,21.362443616489553,NA,NA,5,-1611.7381662086607,3233.595854329672,102.84403868321715,2.75052213826436e-23
5.580983445806319,NA,NA,6.488720711826847,19.216632500595015,-1.305706748948517,NA,6,-1612.512428472269,3237.1925216151967,106.4407059687419,4.55416506138075e-24
5.634753879062498,NA,NA,6.091711776962151,19.317229606477003,NA,NA,5,-1614.25561571127,3238.6307533348904,107.8789376884356,2.21871090210607e-24
7.909189950306545,NA,NA,NA,22.835134075718674,-0.9683214107465252,NA,5,-1616.0444877169655,3242.2084973462815,111.45668169982673,3.70854434504081e-25
7.842283201709921,NA,NA,NA,22.74404503411417,NA,NA,4,-1617.653135097415,3243.3857930576532,112.63397741119843,2.05852886425293e-25
9.006717022773678,-12.888257139277481,NA,11.864387647406264,NA,-1.1299203739251382,NA,6,-1616.234478240204,3244.6366211510667,113.8848055046119,1.10139497714282e-25
9.112610109690602,-13.083990397175612,NA,11.526749089525158,NA,NA,NA,5,-1617.9076672109363,3245.9348563342232,115.18304068776843,5.75486186236808e-26
4.838826716236005,NA,NA,13.694856743575096,NA,-1.2509592086543413,NA,5,-1621.1318260156318,3252.383173943614,121.6313582971593,2.28981568429767e-27
4.886516094337014,NA,NA,13.350663295500368,NA,NA,NA,4,-1622.8533686032615,3253.786260069346,123.03444442289128,1.13533557071677e-27
14.968975707794034,-16.268494998751233,NA,NA,NA,-0.5959467163768958,NA,5,-1622.1075954172798,3254.33471274691,123.58289710045528,8.63036689819361e-28
14.934760313296895,-16.321321117587395,NA,NA,NA,NA,NA,4,-1623.6204689527906,3255.3204607684042,124.56864512194943,5.27201692588541e-28
10.703309833172563,NA,NA,NA,NA,-0.6985871698042659,NA,4,-1627.8103581274413,3263.7002391177057,132.94842347125086,7.98603202724596e-30
10.646918399717434,NA,NA,NA,NA,NA,NA,3,-1629.3475265046443,3264.742672056908,133.99085641045303,4.74208802093262e-30
